Category,Customer ID,Order Date,Order ID,Product ID,Product Name,Segment,Ship Date,Ship Mode,Ship Status,State,Sub-Category,Discount,Profit,Quantity,Sales
Office Supplies,PK-19075,11/11/18,CA-2018-105893,OFF-ST-10004186,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",Consumer,18/11/18,Standard Class,Shipped Late,Wisconsin,Storage,0.00%,$13,6,$666
Office Supplies,AG-10270,13/05/18,CA-2018-167164,OFF-ST-10000107,Fellowes Super Stor/Drawer,Consumer,15/05/18,Second Class,Shipped Early,Utah,Storage,0.00%,$10,2,$56
Office Supplies,ZD-21925,27/08/18,CA-2018-143336,OFF-AR-10003056,Newell 341,Consumer,01/09/18,Second Class,Shipped Late,California,Art,0.00%,$2,2,$9
Technology,ZD-21925,27/08/18,CA-2018-143336,TEC-PH-10001949,Cisco SPA 501G IP Phone,Consumer,01/09/18,Second Class,Shipped Late,California,Phones,20.00%,$16,3,$213
Office Supplies,ZD-21925,27/08/18,CA-2018-143336,OFF-BI-10002215,"Wilson Jones Hanging View Binder, White, 1""",Consumer,01/09/18,Second Class,Shipped Late,California,Binders,20.00%,$7,4,$23
Office Supplies,KB-16585,09/12/20,CA-2020-137330,OFF-AR-10000246,Newell 318,Corporate,13/12/20,Standard Class,Shipped Early,Nebraska,Art,0.00%,$5,7,$19
Office Supplies,KB-16585,09/12/20,CA-2020-137330,OFF-AP-10001492,"Acco Six-Outlet Power Strip, 4' Cord Length",Corporate,13/12/20,Standard Class,Shipped Early,Nebraska,Appliances,0.00%,$16,7,$60
Furniture,SF-20065,16/07/21,US-2021-156909,FUR-CH-10002774,"Global Deluxe Stacking Chair, Gray",Consumer,18/07/21,Second Class,Shipped Early,Pennsylvania,Chairs,30.00%,-$1,2,$71
Furniture,EB-13870,25/09/19,CA-2019-106320,FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,Consumer,30/09/19,Standard Class,Shipped Early,Utah,Tables,0.00%,$240,3,"$1,045"
Office Supplies,EH-13945,16/01/20,CA-2020-121755,OFF-BI-10001634,Wilson Jones Active Use Binders,Consumer,20/01/20,Second Class,Shipped Late,California,Binders,20.00%,$4,2,$12
Technology,EH-13945,16/01/20,CA-2020-121755,TEC-AC-10003027,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,Consumer,20/01/20,Second Class,Shipped Late,California,Accessories,0.00%,$12,3,$91
Furniture,TB-21520,17/09/19,US-2019-150630,FUR-BO-10004834,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Consumer,21/09/19,Standard Class,Shipped Early,Pennsylvania,Bookcases,50.00%,"-$1,665",7,"$3,083"
Office Supplies,TB-21520,17/09/19,US-2019-150630,OFF-BI-10000474,Avery Recycled Flexi-View Covers for Binding Systems,Consumer,21/09/19,Standard Class,Shipped Early,Pennsylvania,Binders,70.00%,-$7,2,$10
Furniture,TB-21520,17/09/19,US-2019-150630,FUR-FU-10004848,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",Consumer,21/09/19,Standard Class,Shipped Early,Pennsylvania,Furnishings,20.00%,$16,3,$124
Office Supplies,TB-21520,17/09/19,US-2019-150630,OFF-EN-10001509,Poly String Tie Envelopes,Consumer,21/09/19,Standard Class,Shipped Early,Pennsylvania,Envelopes,20.00%,$1,2,$3
Office Supplies,TB-21520,17/09/19,US-2019-150630,OFF-AR-10004042,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",Consumer,21/09/19,Standard Class,Shipped Early,Pennsylvania,Art,20.00%,$10,6,$86
Office Supplies,TB-21520,17/09/19,US-2019-150630,OFF-BI-10001525,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",Consumer,21/09/19,Standard Class,Shipped Early,Pennsylvania,Binders,70.00%,-$6,6,$7
Office Supplies,TB-21520,17/09/19,US-2019-150630,OFF-AR-10001683,Lumber Crayons,Consumer,21/09/19,Standard Class,Shipped Early,Pennsylvania,Art,20.00%,$4,2,$16
Office Supplies,MA-17560,19/10/21,CA-2021-107727,OFF-PA-10000249,Easy-staple paper,Home Office,23/10/21,Second Class,Shipped Late,Texas,Paper,20.00%,$10,3,$29
Technology,GH-14485,08/12/20,CA-2020-117590,TEC-PH-10004977,GE 30524EE4,Corporate,10/12/20,First Class,Shipped Late,Texas,Phones,20.00%,$123,7,"$1,098"
Furniture,GH-14485,08/12/20,CA-2020-117590,FUR-FU-10003664,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",Corporate,10/12/20,First Class,Shipped Late,Texas,Furnishings,60.00%,-$148,5,$191
Office Supplies,SN-20710,27/12/19,CA-2019-117415,OFF-EN-10002986,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Home Office,31/12/19,Standard Class,Shipped Early,Texas,Envelopes,20.00%,$35,9,$113
Furniture,SN-20710,27/12/19,CA-2019-117415,FUR-BO-10002545,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Home Office,31/12/19,Standard Class,Shipped Early,Texas,Bookcases,32.00%,-$47,3,$532
Furniture,SN-20710,27/12/19,CA-2019-117415,FUR-CH-10004218,"Global Fabric Manager's Chair, Dark Gray",Home Office,31/12/19,Standard Class,Shipped Early,Texas,Chairs,30.00%,-$15,3,$212
Technology,SN-20710,27/12/19,CA-2019-117415,TEC-PH-10000486,Plantronics HL10 Handset Lifter,Home Office,31/12/19,Standard Class,Shipped Early,Texas,Phones,20.00%,$42,4,$371
Technology,LC-16930,10/09/21,CA-2021-120999,TEC-PH-10004093,Panasonic Kx-TS550,Corporate,15/09/21,Standard Class,Shipped Early,Illinois,Phones,20.00%,$17,4,$147
Office Supplies,RA-19885,17/07/20,CA-2020-101343,OFF-ST-10003479,"Eldon Base for stackable storage shelf, platinum",Corporate,22/07/20,Standard Class,Shipped Early,California,Storage,0.00%,$4,2,$78
Office Supplies,ES-14080,19/09/21,CA-2021-139619,OFF-ST-10003282,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",Corporate,23/09/21,Standard Class,Shipped Early,Florida,Storage,20.00%,$10,2,$96
Technology,ON-18715,11/03/20,CA-2020-118255,TEC-AC-10000171,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",Corporate,13/03/20,First Class,Shipped Late,Minnesota,Accessories,0.00%,$20,2,$46
Office Supplies,ON-18715,11/03/20,CA-2020-118255,OFF-BI-10003291,Wilson Jones Leather-Like Binders with DublLock Round Rings,Corporate,13/03/20,First Class,Shipped Late,Minnesota,Binders,0.00%,$8,2,$17
Office Supplies,PO-18865,20/10/18,CA-2018-146703,OFF-ST-10001713,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",Consumer,25/10/18,Second Class,Shipped Late,Michigan,Storage,0.00%,$8,4,$212
Technology,LH-16900,20/06/20,CA-2020-169194,TEC-AC-10002167,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,Consumer,25/06/20,Standard Class,Shipped Early,Delaware,Accessories,0.00%,$5,3,$45
Technology,LH-16900,20/06/20,CA-2020-169194,TEC-PH-10003988,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",Consumer,25/06/20,Standard Class,Shipped Early,Delaware,Phones,0.00%,$6,2,$22
Office Supplies,DP-13000,18/04/19,CA-2019-115742,OFF-BI-10004410,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",Consumer,22/04/19,Standard Class,Shipped Early,Indiana,Binders,0.00%,$18,6,$38
Office Supplies,DP-13000,18/04/19,CA-2019-115742,OFF-LA-10002762,Avery 485,Consumer,22/04/19,Standard Class,Shipped Early,Indiana,Labels,0.00%,$35,6,$75
Furniture,DP-13000,18/04/19,CA-2019-115742,FUR-FU-10001706,Longer-Life Soft White Bulbs,Consumer,22/04/19,Standard Class,Shipped Early,Indiana,Furnishings,0.00%,$3,2,$6
Furniture,DP-13000,18/04/19,CA-2019-115742,FUR-CH-10003061,"Global Leather Task Chair, Black",Consumer,22/04/19,Standard Class,Shipped Early,Indiana,Chairs,0.00%,$17,1,$90
Office Supplies,JM-15265,11/12/20,CA-2020-105816,OFF-FA-10000304,Advantus Push Pins,Corporate,17/12/20,Standard Class,Shipped On Time,New York,Fasteners,0.00%,$6,7,$15
Technology,JM-15265,11/12/20,CA-2020-105816,TEC-PH-10002447,AT&T CL83451 4-Handset Telephone,Corporate,17/12/20,Standard Class,Shipped On Time,New York,Phones,0.00%,$299,5,"$1,030"
Office Supplies,TB-21055,17/06/20,CA-2020-111682,OFF-ST-10000604,Home/Office Personal File Carts,Consumer,18/06/20,First Class,Shipped On Time,New York,Storage,0.00%,$52,6,$209
Office Supplies,TB-21055,17/06/20,CA-2020-111682,OFF-PA-10001569,Xerox 232,Consumer,18/06/20,First Class,Shipped On Time,New York,Paper,0.00%,$16,5,$32
Furniture,TB-21055,17/06/20,CA-2020-111682,FUR-CH-10003968,Novimex Turbo Task Chair,Consumer,18/06/20,First Class,Shipped On Time,New York,Chairs,10.00%,$7,5,$319
Office Supplies,TB-21055,17/06/20,CA-2020-111682,OFF-PA-10000587,"Array Parchment Paper, Assorted Colors",Consumer,18/06/20,First Class,Shipped On Time,New York,Paper,0.00%,$7,2,$15
Technology,TB-21055,17/06/20,CA-2020-111682,TEC-AC-10002167,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,Consumer,18/06/20,First Class,Shipped On Time,New York,Accessories,0.00%,$3,2,$30
Office Supplies,TB-21055,17/06/20,CA-2020-111682,OFF-BI-10001460,Plastic Binding Combs,Consumer,18/06/20,First Class,Shipped On Time,New York,Binders,20.00%,$16,4,$48
Office Supplies,TB-21055,17/06/20,CA-2020-111682,OFF-AR-10001868,Prang Dustless Chalk Sticks,Consumer,18/06/20,First Class,Shipped On Time,New York,Art,0.00%,$1,1,$2
Technology,KM-16720,24/11/19,CA-2019-135545,TEC-AC-10004633,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",Consumer,30/11/19,Standard Class,Shipped On Time,California,Accessories,0.00%,$6,2,$14
Office Supplies,KM-16720,24/11/19,CA-2019-135545,OFF-BI-10001078,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",Consumer,30/11/19,Standard Class,Shipped On Time,California,Binders,20.00%,$9,6,$26
Office Supplies,KM-16720,24/11/19,CA-2019-135545,OFF-PA-10003892,Xerox 1943,Consumer,30/11/19,Standard Class,Shipped On Time,California,Paper,0.00%,$69,3,$147
Furniture,KM-16720,24/11/19,CA-2019-135545,FUR-FU-10000397,Luxo Economy Swing Arm Lamp,Consumer,30/11/19,Standard Class,Shipped On Time,California,Furnishings,0.00%,$22,4,$80
Furniture,PS-18970,30/04/19,US-2019-164175,FUR-CH-10001146,"Global Value Mid-Back Manager's Chair, Gray",Home Office,05/05/19,Standard Class,Shipped Early,Illinois,Chairs,30.00%,-$15,5,$213
Office Supplies,BS-11590,05/12/18,CA-2018-106376,OFF-AR-10002671,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",Corporate,10/12/18,Standard Class,Shipped Early,Arizona,Art,20.00%,$111,8,"$1,113"
Technology,BS-11590,05/12/18,CA-2018-106376,TEC-PH-10002726,netTALK DUO VoIP Telephone Service,Corporate,10/12/18,Standard Class,Shipped Early,Arizona,Phones,20.00%,$63,4,$168
Office Supplies,KD-16270,04/06/20,CA-2020-119823,OFF-PA-10000482,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",Consumer,06/06/20,First Class,Shipped Late,Virginia,Paper,0.00%,$36,2,$76
Office Supplies,HM-14980,18/09/20,CA-2020-106075,OFF-BI-10004654,Avery Binding System Hidden Tab Executive Style Index Sets,Consumer,23/09/20,Standard Class,Shipped Early,New York,Binders,20.00%,$2,1,$5
Office Supplies,TB-21520,14/09/21,CA-2021-114440,OFF-PA-10004675,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",Consumer,17/09/21,Second Class,Shipped On Time,Michigan,Paper,0.00%,$9,3,$19
Furniture,JE-15745,26/04/19,US-2019-134026,FUR-CH-10000513,High-Back Leather Manager's Chair,Consumer,02/05/19,Standard Class,Shipped On Time,Tennessee,Chairs,20.00%,-$114,8,$832
Furniture,JE-15745,26/04/19,US-2019-134026,FUR-FU-10003708,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",Consumer,02/05/19,Standard Class,Shipped On Time,Tennessee,Furnishings,20.00%,$1,2,$97
Office Supplies,JE-15745,26/04/19,US-2019-134026,OFF-ST-10004123,Safco Industrial Wire Shelving System,Consumer,02/05/19,Standard Class,Shipped On Time,Tennessee,Storage,20.00%,-$18,1,$73
Office Supplies,KB-16600,09/12/21,US-2021-118038,OFF-BI-10004182,Economy Binders,Corporate,11/12/21,First Class,Shipped Late,Texas,Binders,80.00%,-$2,3,$1
Furniture,KB-16600,09/12/21,US-2021-118038,FUR-FU-10000260,"6"" Cubicle Wall Clock, Black",Corporate,11/12/21,First Class,Shipped Late,Texas,Furnishings,60.00%,-$6,3,$10
Office Supplies,KB-16600,09/12/21,US-2021-118038,OFF-ST-10000615,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",Corporate,11/12/21,First Class,Shipped Late,Texas,Storage,20.00%,$3,3,$27
Furniture,JE-15745,26/11/18,US-2018-147606,FUR-FU-10003194,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",Consumer,01/12/18,Second Class,Shipped Late,Texas,Furnishings,60.00%,-$14,5,$19
Office Supplies,SC-20770,12/06/20,CA-2020-127208,OFF-AP-10002118,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Corporate,15/06/20,First Class,Shipped Late,Alabama,Appliances,0.00%,$56,1,$208
Office Supplies,SC-20770,12/06/20,CA-2020-127208,OFF-BI-10002309,Avery Heavy-Duty EZD Binder With Locking Rings,Corporate,15/06/20,First Class,Shipped Late,Alabama,Binders,0.00%,$8,3,$17
Office Supplies,DN-13690,12/10/18,CA-2018-139451,OFF-AR-10002053,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",Consumer,16/10/18,Standard Class,Shipped Early,California,Art,0.00%,$4,5,$15
Office Supplies,DN-13690,12/10/18,CA-2018-139451,OFF-ST-10002370,"Sortfiler Multipurpose Personal File Organizer, Black",Consumer,16/10/18,Standard Class,Shipped Early,California,Storage,0.00%,$6,1,$21
Office Supplies,JC-16105,03/09/19,CA-2019-149734,OFF-EN-10000927,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,Corporate,08/09/19,Standard Class,Shipped Early,North Carolina,Envelopes,20.00%,$63,7,$201
Office Supplies,CS-12400,13/11/21,US-2021-119662,OFF-ST-10003656,Safco Industrial Wire Shelving,Home Office,16/11/21,First Class,Shipped Late,Illinois,Storage,20.00%,-$49,3,$230
Furniture,PO-18865,28/05/21,CA-2021-140088,FUR-CH-10000863,Novimex Swivel Fabric Task Chair,Consumer,30/05/21,Second Class,Shipped Early,South Carolina,Chairs,0.00%,$33,2,$302
Technology,PG-18895,26/10/21,CA-2021-155558,TEC-AC-10001998,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,Consumer,02/11/21,Standard Class,Shipped Late,Minnesota,Accessories,0.00%,$7,1,$20
Office Supplies,PG-18895,26/10/21,CA-2021-155558,OFF-LA-10000134,Avery 511,Consumer,02/11/21,Standard Class,Shipped Late,Minnesota,Labels,0.00%,$3,2,$6
Office Supplies,GM-14455,05/04/20,CA-2020-159695,OFF-ST-10003442,Eldon Portable Mobile Manager,Home Office,10/04/20,Second Class,Shipped Late,Texas,Storage,20.00%,$14,7,$158
Office Supplies,JS-15685,17/09/20,CA-2020-109806,OFF-AR-10004930,Turquoise Lead Holder with Pocket Clip,Corporate,22/09/20,Standard Class,Shipped Early,California,Art,0.00%,$7,3,$20
Technology,JS-15685,17/09/20,CA-2020-109806,TEC-PH-10004093,Panasonic Kx-TS550,Corporate,22/09/20,Standard Class,Shipped Early,California,Phones,20.00%,$8,2,$74
Office Supplies,JS-15685,17/09/20,CA-2020-109806,OFF-PA-10000304,Xerox 1995,Corporate,22/09/20,Standard Class,Shipped Early,California,Paper,0.00%,$3,1,$6
Office Supplies,KB-16315,31/01/19,CA-2019-149587,OFF-PA-10003177,Xerox 1999,Consumer,05/02/19,Second Class,Shipped Late,Minnesota,Paper,0.00%,$6,2,$13
Furniture,KB-16315,31/01/19,CA-2019-149587,FUR-FU-10003799,"Seth Thomas 13 1/2"" Wall Clock",Consumer,05/02/19,Second Class,Shipped Late,Minnesota,Furnishings,0.00%,$17,3,$53
Office Supplies,KB-16315,31/01/19,CA-2019-149587,OFF-BI-10002852,Ibico Standard Transparent Covers,Consumer,05/02/19,Second Class,Shipped Late,Minnesota,Binders,0.00%,$16,2,$33
Office Supplies,RB-19705,06/11/21,US-2021-109484,OFF-BI-10004738,Flexible Leather- Look Classic Collection Ring Binder,Home Office,12/11/21,Standard Class,Shipped On Time,Oregon,Binders,70.00%,-$4,1,$6
Furniture,PN-18775,09/11/21,CA-2021-161018,FUR-FU-10000629,9-3/4 Diameter Round Wall Clock,Home Office,11/11/21,Second Class,Shipped Early,New York,Furnishings,0.00%,$41,7,$97
Office Supplies,KD-16345,17/06/21,CA-2021-157833,OFF-BI-10001721,Trimflex Flexible Post Binders,Consumer,20/06/21,First Class,Shipped Late,California,Binders,20.00%,$18,3,$51
Office Supplies,ER-13855,06/09/20,CA-2020-149223,OFF-AP-10000358,Fellowes Basic Home/Office Series Surge Protectors,Corporate,11/09/20,Standard Class,Shipped Early,Minnesota,Appliances,0.00%,$23,6,$78
Office Supplies,RB-19465,29/08/20,CA-2020-158568,OFF-PA-10003256,Avery Personal Creations Heavyweight Cards,Home Office,02/09/20,Standard Class,Shipped Early,Illinois,Paper,20.00%,$23,7,$65
Technology,RB-19465,29/08/20,CA-2020-158568,TEC-AC-10001767,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,Home Office,02/09/20,Standard Class,Shipped Early,Illinois,Accessories,20.00%,-$11,3,$96
Office Supplies,RB-19465,29/08/20,CA-2020-158568,OFF-BI-10002609,Avery Hidden Tab Dividers for Binding Systems,Home Office,02/09/20,Standard Class,Shipped Early,Illinois,Binders,80.00%,-$3,3,$2
Office Supplies,GZ-14470,01/12/20,CA-2020-129903,OFF-PA-10004040,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),Consumer,04/12/20,Second Class,Shipped On Time,Minnesota,Paper,0.00%,$12,4,$24
Technology,LC-16870,13/11/19,US-2019-156867,TEC-AC-10001552,Logitech K350 2.4Ghz Wireless Keyboard,Consumer,17/11/19,Standard Class,Shipped Early,Colorado,Accessories,20.00%,-$27,6,$239
Furniture,LC-16870,13/11/19,US-2019-156867,FUR-FU-10004006,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",Consumer,17/11/19,Standard Class,Shipped Early,Colorado,Furnishings,20.00%,-$4,3,$102
Office Supplies,LC-16870,13/11/19,US-2019-156867,OFF-BI-10002794,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",Consumer,17/11/19,Standard Class,Shipped Early,Colorado,Binders,70.00%,-$26,3,$37
Technology,JM-15250,23/11/21,CA-2021-119004,TEC-AC-10003499,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,Consumer,28/11/21,Standard Class,Shipped Early,North Carolina,Accessories,20.00%,$18,8,$74
Technology,JM-15250,23/11/21,CA-2021-119004,TEC-PH-10002844,Speck Products Candyshell Flip Case,Consumer,28/11/21,Standard Class,Shipped Early,North Carolina,Phones,20.00%,$2,1,$28
Office Supplies,JM-15250,23/11/21,CA-2021-119004,OFF-AR-10000390,Newell Chalk Holder,Consumer,28/11/21,Standard Class,Shipped Early,North Carolina,Art,20.00%,$1,1,$3
Technology,PA-19060,15/10/19,CA-2019-129476,TEC-AC-10000844,Logitech Gaming G510s - Keyboard,Home Office,20/10/19,Standard Class,Shipped Early,Illinois,Accessories,20.00%,$68,5,$340
Furniture,CV-12805,25/12/21,CA-2021-146780,FUR-FU-10001934,Magnifier Swing Arm Lamp,Corporate,30/12/21,Standard Class,Shipped Early,New York,Furnishings,0.00%,$11,2,$42
Office Supplies,CL-12565,03/11/20,CA-2020-128867,OFF-AR-10000380,"Hunt PowerHouse Electric Pencil Sharpener, Blue",Consumer,10/11/20,Standard Class,Shipped Late,Iowa,Art,0.00%,$23,2,$76
Office Supplies,CL-12565,03/11/20,CA-2020-128867,OFF-BI-10003981,"Avery Durable Plastic 1"" Binders",Consumer,10/11/20,Standard Class,Shipped Late,Iowa,Binders,0.00%,$13,6,$27
Office Supplies,RC-19960,25/08/18,CA-2018-115259,OFF-FA-10000621,"OIC Colored Binder Clips, Assorted Sizes",Consumer,27/08/18,Second Class,Shipped Early,Ohio,Fasteners,20.00%,$15,14,$40
Office Supplies,RC-19960,25/08/18,CA-2018-115259,OFF-EN-10002600,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",Consumer,27/08/18,Second Class,Shipped Early,Ohio,Envelopes,20.00%,$2,2,$5
Office Supplies,RC-19960,25/08/18,CA-2018-115259,OFF-PA-10004965,Xerox 1921,Consumer,27/08/18,Second Class,Shipped Early,Ohio,Paper,20.00%,$7,3,$24
Office Supplies,RC-19960,25/08/18,CA-2018-115259,OFF-EN-10002504,"Tyvek Top-Opening Peel & Seel Envelopes, Plain White",Consumer,27/08/18,Second Class,Shipped Early,Ohio,Envelopes,20.00%,$44,6,$130
Furniture,DK-13090,02/03/19,CA-2019-110457,FUR-TA-10001768,Hon Racetrack Conference Tables,Consumer,06/03/19,Standard Class,Shipped Early,Washington,Tables,0.00%,$165,3,$788
Office Supplies,GG-14650,05/04/19,US-2019-136476,OFF-BI-10003650,GBC DocuBind 300 Electric Binding Machine,Corporate,10/04/19,Standard Class,Shipped Early,Tennessee,Binders,70.00%,-$116,1,$158
Furniture,SC-20725,12/06/20,CA-2020-103730,FUR-FU-10002157,Artistic Insta-Plaque,Consumer,15/06/20,First Class,Shipped Late,Delaware,Furnishings,0.00%,$18,3,$47
Office Supplies,SC-20725,12/06/20,CA-2020-103730,OFF-BI-10003910,DXL Angle-View Binders with Locking Rings by Samsill,Consumer,15/06/20,First Class,Shipped Late,Delaware,Binders,0.00%,$14,4,$31
Office Supplies,SC-20725,12/06/20,CA-2020-103730,OFF-ST-10000777,"Companion Letter/Legal File, Black",Consumer,15/06/20,First Class,Shipped Late,Delaware,Storage,0.00%,$63,6,$227
Office Supplies,SC-20725,12/06/20,CA-2020-103730,OFF-EN-10002500,Globe Weis Peel & Seel First Class Envelopes,Consumer,15/06/20,First Class,Shipped Late,Delaware,Envelopes,0.00%,$52,9,$115
Technology,SC-20725,12/06/20,CA-2020-103730,TEC-PH-10003875,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,Consumer,15/06/20,First Class,Shipped Late,Delaware,Phones,0.00%,$20,7,$68
Furniture,AD-10180,26/12/18,US-2018-152030,FUR-CH-10004063,Global Deluxe High-Back Manager's Chair,Home Office,28/12/18,Second Class,Shipped Early,Texas,Chairs,30.00%,-$9,3,$601
Furniture,PF-19165,20/09/18,US-2018-134614,FUR-TA-10004534,Bevis 44 x 96 Conference Tables,Consumer,25/09/18,Standard Class,Shipped Early,Illinois,Tables,50.00%,-$408,6,$618
Office Supplies,TS-21610,05/11/21,US-2021-107272,OFF-BI-10003274,"Avery Durable Slant Ring Binders, No Labels",Consumer,12/11/21,Standard Class,Shipped Late,Arizona,Binders,70.00%,-$2,2,$2
Office Supplies,TS-21610,05/11/21,US-2021-107272,OFF-ST-10002974,"Trav-L-File Heavy-Duty Shuttle II, Black",Consumer,12/11/21,Standard Class,Shipped Late,Arizona,Storage,20.00%,$30,7,$244
Furniture,LS-16975,06/11/20,US-2020-125969,FUR-CH-10001146,"Global Task Chair, Black",Home Office,10/11/20,Second Class,Shipped Late,California,Chairs,20.00%,-$9,2,$81
